,text,label
0,"<s> I will meet you at the café tomorrow, and we can catch up over a cup of coffee.",1
1,"<s> She was feeling nervous about the presentation, but she new she had prepared well.",1
2,"<s> He didn’t like the idea of moving to a new city, although he understood it was necessary for his career.",1
3,"<s> They decided to take a walk in the park after lunch, as the weather was just perfect for it.",1
4,"<s> We need to finish the report by Friday, or else we won’t meet the deadline.",1
5,"<s> The children played outside all afternoon, and they where so tired by the time they came inside.",1
6,"<s> You could see you had a big smile on your face, you'd be looking forward to it.",1
7,<s> That's probably my favorite question I get asked all the time.,1
8,<s> They where able to go from having a bad experience to wanting to go back.,1
9,<s> We stayed up all nite 🌙 playing board games and eating too many cookies,1
10,"<s> However, the work that has been done so far is still not fully implemented. We have to work on it in a more",1
11,<s> Try the same strategy to you're advantage using your own actions.,1
12,<s> I thought she was joking with a girl who was trying too get a job as a dancer.,1
13,<s> People are being really quiet on these: we're doing this because we don't want to lose.,1
14,<s> We've all been their. There's no doubt that it was a huge mistake.,1
15,"<s> I don't think she's going to make it, but she's going to be a great candidate.",1
16,"<s> If the man had been in trouble with the cops, or had been arrested for a crime, he would have been considered a juvenile.",1
17,<s> Well it's been for months and you're still not happy,1
18,"<s> You could even go out and have a few drinks with a friend at a bar, but that would be too expensive",1
19,<s> They told me that they were getting in touch and we where being assured that they were getting the news through the phone,1
20,"<s> It was a bit surreal, but I think I was very lucky.",1
21,"<s> I finally submitted my project 💻 after working on it for days, and now I’m treating myself to some ice cream.",1
22,"<s> I missed the bus this morning, spilled coffee on my shirt 👕, and forgot my keys 🔑—what a day!",1
23,"<s> We danced all night at the party, sang our favorite songs 🎤, and didn’t get home until sunrise.",1
24,"<s> The big presentation is scheduled for 2024-03-03, so we need to finalize the slides soon .",1
25,<s> Marie Curie was awarded two Nobel Prizes for her groundbreaking research on radioactivity,1
26,"<s> If the owewr of the vehicle is not licensed to drive, the owner's license to drive mya be suspended.",0
27,"<s> They told me that they could not confimr or deny the existence of the video, which has been viwed over 140 million times.",0
28,<s> Why do I care abuot using a diffferent strategy?,0
29,"<s> I don't now, the prolblem is that it can be very hord to find the answer",0
30,<s> I know that their will be some in the comnnity that will come up wiht a new solwtion based on these studies.,0
31,"<s> You know, I've ben to a lot of places and I came back here wiht a good deal of experience.",0
32,<s> Yesterday I was thinking about the time I was silting their and I heard the sound of the weend blowing in the direction of my home.,0
33,"<s> He didhn't tell me what she was doing, so I couldn't telgl her.",0
34,"<s> If you where happy with the servce I provided to you, I wood greatly appreciate it if you could right me a few sentesces or a paragraph",0
35,"<s> To put it sipmly, the whole point of this book is to mafke the next big mistake.",0
36,<s> She's a gopd friend of mine. She's the most powerful person I've evrer known.,0
37,<s> This willd provide people width a way to snack on and digest your cotent in bite-sized peace,0
38,"<s> After spending the hole day hiking through the mountains, they finally reached the cabin, compltely exhausted but happie.You can use a simple comnand line tool to do so. It is a sidple and painless process.",0
39,<s> I'm just a guy who alwys wanted to be an actor and was always lofking for a place to be.,0
40,<s> The wind blue so hard that it nocked over the garden chairs and scatered the papers every where.,0
41,<s> I decided to buy a new laptop because my old one was two slow for my word tasks.,0
42,<s> The knews of the team’s victory made everyone want to brake into applause.,0
43,<s> I’m excited to meet new people at the confrence next weak.,0
44,<s> I should hasve called the police and foumnd out there had been an accident,0
45,<s> I have been in touckh with most of these people before I had a chance to meret them in person.,0
46,<s> They told me that I had ben put on a deit that was complitely inaffective at keeping my body healthy.,0
47,<s> Just made some homeade pizza 🍕 and now I’m waching a movie with my cat.,0
48,"<s> The concert was amzing, I lost my voise from singing so loud 🗣️ and my feet still hurt.",0
49,"<s> I met my bets freind on 2012-10-10, and we've been inseprable ever since.",0
50,<s> The famous whriter J.K. Rowling released the fistt Harry Potter book in 1997,0
51,<s> Weather may chanfe on any given day so it is imposible to accurately predict the entire period.,0
